name,description,price,category,subcategory,group,inStock,image,quantity
iPhone Smartphones Model A 2021,"This is a premium iPhone Smartphones Model A 2021 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",27270.70,Smartphones,iPhone,Premium,FALSE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,0
iPhone Smartphones Model B 2022,"This is a premium iPhone Smartphones Model B 2022 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",22102.99,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,56
iPhone Smartphones Model C 2023,"This is a premium iPhone Smartphones Model C 2023 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",12623.72,Smartphones,iPhone,Premium,FALSE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,0
iPhone Smartphones Model D 2024,"This is a premium iPhone Smartphones Model D 2024 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",23243.07,Smartphones,iPhone,Premium,FALSE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,0
iPhone Smartphones Model E 2025,"This is a premium iPhone Smartphones Model E 2025 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",33435.04,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,10
iPhone Smartphones Model F 2026,"This is a premium iPhone Smartphones Model F 2026 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",13520.88,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,79
iPhone Smartphones Model G 2027,"This is a premium iPhone Smartphones Model G 2027 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",25525.48,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,71
iPhone Smartphones Model H 2028,"This is a premium iPhone Smartphones Model H 2028 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",14847.91,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,83
iPhone Smartphones Model I 2029,"This is a premium iPhone Smartphones Model I 2029 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",40824.20,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,36
iPhone Smartphones Model J 2030,"This is a premium iPhone Smartphones Model J 2030 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",35778.56,Smartphones,iPhone,Premium,TRUE,https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?q=80&w=800&auto=format&fit=crop,72
Samsung Smartphones Model A 2021,"This is a premium Samsung Smartphones Model A 2021 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",29374.49,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,85
Samsung Smartphones Model B 2022,"This is a premium Samsung Smartphones Model B 2022 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",8768.35,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,40
Samsung Smartphones Model C 2023,"This is a premium Samsung Smartphones Model C 2023 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",22319.44,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,42
Samsung Smartphones Model D 2024,"This is a premium Samsung Smartphones Model D 2024 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",14944.20,Smartphones,Samsung,Premium,FALSE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,0
Samsung Smartphones Model E 2025,"This is a premium Samsung Smartphones Model E 2025 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",49585.29,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,21
Samsung Smartphones Model F 2026,"This is a premium Samsung Smartphones Model F 2026 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",36231.69,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,60
Samsung Smartphones Model G 2027,"This is a premium Samsung Smartphones Model G 2027 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",44523.37,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,32
Samsung Smartphones Model H 2028,"This is a premium Samsung Smartphones Model H 2028 designed for ultimate performance and style. Featuring the latest technology in smartphones category.",31882.18,Smartphones,Samsung,Premium,TRUE,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800&auto=format&fit=crop,62
