name,description,price,category,subcategory,inStock,image
"Apple iPhone 15 Pro","Titanium build with A17 Pro chip and advanced camera system.",134900,Electronics,Smartphone,true,https://images.unsplash.com/photo-1696446701796-da61225697cc?q=80&w=800
"Samsung Galaxy S24 Ultra","AI-powered smartphone with 200MP camera and S Pen support.",129999,Electronics,Smartphone,true,https://images.unsplash.com/photo-1610945265064-0e34e5519bbf?q=80&w=800
"Sony WH-1000XM5","Industry-leading noise canceling wireless headphones with crystal-clear sound.",29990,Electronics,Audio,true,https://images.unsplash.com/photo-1546435770-a3e426ff473a?q=80&w=800
"MacBook Air M3","Strikingly thin and fast with 13-inch Liquid Retina display.",114900,Electronics,Laptop,true,https://images.unsplash.com/photo-1517336714731-489689fd1ca8?q=80&w=800
"Dell XPS 13","Compact high-performance laptop with 4-sided InfinityEdge display.",125000,Electronics,Laptop,false,https://images.unsplash.com/photo-1593642632823-8f785ba67e45?q=80&w=800
"Logitech MX Master 3S","Universal office mouse with ergonomic design and silent clicks.",10995,Electronics,Accessories,true,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?q=80&w=800
"Keychron K2 V2","Wireless mechanical keyboard with hot-swappable switches.",7500,Electronics,Accessories,true,https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?q=80&w=800
"ASUS ROG Strix G16","Powerful gaming laptop with RTX 40-series graphics.",145000,Electronics,Laptop,true,https://images.unsplash.com/photo-1603302576837-37561b2e2302?q=80&w=800
"iPad Pro 12.9 M2","The ultimate iPad experience with the world's most advanced mobile display.",119900,Electronics,Tablet,true,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?q=80&w=800
"Nintendo Switch OLED","Vibrant 7-inch OLED screen and enhanced audio for portable gaming.",32000,Electronics,Gaming,true,https://images.unsplash.com/photo-1578303372704-147ae51ec85c?q=80&w=800
"Levi's 511 Slim Jeans","Modern slim-fit jeans with room to move and a classic look.",4500,Fashion,Men,true,https://images.unsplash.com/photo-1542272604-787c3835535d?q=80&w=800
"Nike Air Max 270","Sneakers with Nike's biggest heel Air unit for a super-soft ride.",12995,Fashion,Footwear,true,https://images.unsplash.com/photo-1542291026-7eec264c27ff?q=80&w=800
"Adidas Ultraboost Light","The lightest Ultraboost ever made for maximum energy return.",16999,Fashion,Footwear,true,https://images.unsplash.com/photo-1587563871167-1ee9c731aefb?q=80&w=800
"Ray-Ban Wayfarer","Iconic sunglasses with a classic black frame and G-15 lenses.",10500,Fashion,Accessories,true,https://images.unsplash.com/photo-1572635196237-14b3f281503f?q=80&w=800
"H&M Oversized Hoodie","Soft sweatshirt fabric with a relaxed fit and dropped shoulders.",2499,Fashion,Men,true,https://images.unsplash.com/photo-1556821840-3a63f95609a7?q=80&w=800
"Zara Cotton Trench Coat","Double-breasted coat with wide lapels and long sleeves.",8999,Fashion,Women,true,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?q=80&w=800
"Fossil Gen 6 Smartwatch","Faster performance and wellness features in a classic design.",24995,Fashion,Watches,false,https://images.unsplash.com/photo-1523275335684-37898b6baf30?q=80&w=800
"Tommy Hilfiger Polo Shirt","Classic-fit polo shirt in breathable cotton piqué.",4999,Fashion,Men,true,https://images.unsplash.com/photo-1581655353564-df123a1eb820?q=80&w=800
"Puma Velocity Nitro 2","Neutral running shoe for all distances with responsive cushioning.",10999,Fashion,Footwear,true,https://images.unsplash.com/photo-1608231387042-66d1773070a5?q=80&w=800
